0	1	540
1	2	7
2	3	13
3	4	19
4	5	25
5	6	31
6	7	37
7	8	43
8	9	49
9	10	55
10	11	61
11	12	67
12	13	73
13	14	79
14	15	85
15	16	91
16	17	97
17	18	103
18	19	109
19	20	115
20	21	121
21	22	127
22	23	133
23	24	139
24	25	145
25	26	151
26	27	157
27	28	163
28	29	169
29	30	175
30	31	181
31	32	187
32	33	193
33	34	199
34	35	205
35	36	211
36	37	217
37	38	223
38	39	229
39	40	235
40	41	241
41	42	247
42	43	253
43	44	259
44	45	265
45	46	271
46	47	277
47	48	283
48	49	289
49	50	295
50	51	301
51	52	307
52	53	313
53	54	319
54	55	325
55	56	331
56	57	337
57	58	343
58	59	349
59	60	355
60	61	361
61	62	367
62	63	373
63	64	379
64	65	385
65	66	391
66	67	397
67	68	403
68	69	409
69	70	415
70	71	421
71	72	427
72	73	433
73	74	439
74	75	445
75	76	451
76	77	457
77	78	463
78	79	469
79	80	475
80	81	481
81	82	487
82	83	493
83	84	499
84	85	505
85	86	511
86	87	517
87	88	523
88	89	529
89	90	535
90	91	0
91	92	547
92	93	553
93	94	559
94	95	565
95	96	571
96	97	577
97	98	583
98	99	589
99	100	595
